"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"31",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","Jamal Crawford","Raymond Felton","Devin Harris","Jose Juan Barea","Dirk Nowitzki","Dwight Powell"
"32",0,"Blake Griffin","Chris Paul","JJ Redick","Jamal Crawford","Austin Rivers","Raymond Felton","Devin Harris","Jose Juan Barea","Dirk Nowitzki","Dwight Powell"
"33",2,"Blake Griffin","Chris Paul","JJ Redick","Jamal Crawford","Austin Rivers","Raymond Felton","Devin Harris","Jose Juan Barea","Dwight Powell","Jeremy Evans"
"34",-3,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Dirk Nowitzki","Zaza Pachulia","Raymond Felton","Jose Juan Barea","Devin Harris"
"35",2,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Dirk Nowitzki","Zaza Pachulia","Raymond Felton","Devin Harris","John Jenkins"
"36",0,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Zaza Pachulia","Raymond Felton","Devin Harris","John Jenkins","Jose Juan Barea"
"37",0,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Raymond Felton","Devin Harris","John Jenkins","Jose Juan Barea","Charlie Villanueva"
"38",0,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Salah Mejri"
"39",5,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Zaza Pachulia"
"40",0,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dwight Powell"
"41",0,"Lance Stephenson","Blake Griffin","DeAndre Jordan","Chris Paul","Jamal Crawford","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dwight Powell"
"42",-1,"Blake Griffin","DeAndre Jordan","Chris Paul","Jamal Crawford","Austin Rivers","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dwight Powell"
"43",0,"DeAndre Jordan","Chris Paul","Jamal Crawford","Austin Rivers","Josh Smith","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dwight Powell"
"44",0,"Chris Paul","Jamal Crawford","Austin Rivers","Josh Smith","Wesley Johnson","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dwight Powell"
"45",1,"Jamal Crawford","Austin Rivers","Josh Smith","Wesley Johnson","Paul Pierce","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dwight Powell"
"46",1,"Jamal Crawford","Austin Rivers","Josh Smith","Wesley Johnson","Paul Pierce","Raymond Felton","John Jenkins","Jose Juan Barea","Charlie Villanueva","Dirk Nowitzki"
"47",1,"Jamal Crawford","Austin Rivers","Josh Smith","Wesley Johnson","Paul Pierce","Raymond Felton","John Jenkins","Charlie Villanueva","Dirk Nowitzki","Devin Harris"
"48",0,"Jamal Crawford","Austin Rivers","Josh Smith","Wesley Johnson","Paul Pierce","Raymond Felton","John Jenkins","Dirk Nowitzki","Devin Harris","Jeremy Evans"
"49",3,"Jamal Crawford","Austin Rivers","Wesley Johnson","Paul Pierce","Chris Paul","Raymond Felton","John Jenkins","Dirk Nowitzki","Devin Harris","Jeremy Evans"
"50",4,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Jeremy Evans","Dirk Nowitzki","John Jenkins","Devin Harris","Justin Anderson"
"51",0,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Jeremy Evans","Dirk Nowitzki","John Jenkins","Justin Anderson","Charlie Villanueva"
"52",2,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Jeremy Evans","John Jenkins","Justin Anderson","Charlie Villanueva","Dwight Powell"
"53",1,"Paul Pierce","Josh Smith","Austin Rivers","Wesley Johnson","Pablo Prigioni","Jeremy Evans","John Jenkins","Justin Anderson","Charlie Villanueva","Dwight Powell"
"54",0,"Josh Smith","Austin Rivers","Wesley Johnson","Pablo Prigioni","Luc Mbah a Moute","Jeremy Evans","John Jenkins","Justin Anderson","Charlie Villanueva","Dwight Powell"
"55",2,"Austin Rivers","Wesley Johnson","Pablo Prigioni","Luc Mbah a Moute","Cole Aldrich","Jeremy Evans","John Jenkins","Justin Anderson","Charlie Villanueva","Dwight Powell"
"56",-10,"Austin Rivers","Wesley Johnson","Pablo Prigioni","Luc Mbah a Moute","Cole Aldrich","Jeremy Evans","John Jenkins","Justin Anderson","Charlie Villanueva","Salah Mejri"
"57",-1,"LeBron James","Kevin Love","Timofey Mozgov","J.R. Smith","Mo Williams","Luol Deng","Chris Bosh","Hassan Whiteside","Goran Dragic","Dwyane Wade"
"58",2,"LeBron James","Kevin Love","Timofey Mozgov","J.R. Smith","Mo Williams","Chris Bosh","Hassan Whiteside","Goran Dragic","Dwyane Wade","Justise Winslow"
"59",0,"LeBron James","Kevin Love","Timofey Mozgov","J.R. Smith","Matthew Dellavedova","Chris Bosh","Hassan Whiteside","Goran Dragic","Dwyane Wade","Justise Winslow"
"60",2,"LeBron James","Kevin Love","Timofey Mozgov","J.R. Smith","Matthew Dellavedova","Chris Bosh","Hassan Whiteside","Dwyane Wade","Justise Winslow","Mario Chalmers"
"61",0,"Kevin Love","Timofey Mozgov","J.R. Smith","Matthew Dellavedova","Richard Jefferson","Chris Bosh","Hassan Whiteside","Dwyane Wade","Justise Winslow","Mario Chalmers"
